instant,dateday,season,year,month,weekday,workingday,weathersit,temp,temp_feeling,hum,windspeed,general,member,amount
63,2011-03-04,spring,2011,Mar,Fri,Workday,Mist,0.26,0.26,0.61,0.20,214,1730,1944
64,2011-03-05,spring,2011,Mar,Sat,Holiday,Mist,0.38,0.38,0.79,0.25,640,1437,2077
65,2011-03-06,spring,2011,Mar,Sun,Holiday,Mist,0.38,0.37,0.95,0.34,114,491,605
66,2011-03-07,spring,2011,Mar,Mon,Workday,Clear,0.26,0.24,0.55,0.34,244,1628,1872
67,2011-03-08,spring,2011,Mar,Tue,Workday,Clear,0.29,0.30,0.42,0.12,316,1817,2133
68,2011-03-09,spring,2011,Mar,Wed,Workday,Mist,0.30,0.29,0.78,0.22,191,1700,1891
69,2011-03-10,spring,2011,Mar,Thu,Workday,Light Snow,0.39,0.39,0.00,0.26,46,577,623
70,2011-03-11,spring,2011,Mar,Fri,Workday,Mist,0.32,0.30,0.65,0.23,247,1730,1977
71,2011-03-12,spring,2011,Mar,Sat,Holiday,Clear,0.33,0.33,0.59,0.22,724,1408,2132
72,2011-03-13,spring,2011,Mar,Sun,Holiday,Clear,0.38,0.38,0.53,0.27,982,1435,2417
73,2011-03-14,spring,2011,Mar,Mon,Workday,Clear,0.33,0.33,0.50,0.14,359,1687,2046
74,2011-03-15,spring,2011,Mar,Tue,Workday,Mist,0.32,0.32,0.66,0.18,289,1767,2056
75,2011-03-16,spring,2011,Mar,Wed,Workday,Mist,0.37,0.37,0.78,0.20,321,1871,2192
76,2011-03-17,spring,2011,Mar,Thu,Workday,Clear,0.41,0.41,0.60,0.21,424,2320,2744
77,2011-03-18,spring,2011,Mar,Fri,Workday,Clear,0.54,0.53,0.53,0.23,884,2355,3239
78,2011-03-19,spring,2011,Mar,Sat,Holiday,Clear,0.47,0.47,0.38,0.37,1424,1693,3117
79,2011-03-20,spring,2011,Mar,Sun,Holiday,Clear,0.33,0.33,0.47,0.21,1047,1424,2471
80,2011-03-21,summer,2011,Mar,Mon,Workday,Mist,0.43,0.41,0.74,0.29,401,1676,2077
81,2011-03-22,summer,2011,Mar,Tue,Workday,Clear,0.44,0.44,0.62,0.23,460,2243,2703
82,2011-03-23,summer,2011,Mar,Wed,Workday,Mist,0.35,0.34,0.84,0.23,203,1918,2121
83,2011-03-24,summer,2011,Mar,Thu,Workday,Mist,0.28,0.27,0.81,0.24,166,1699,1865
84,2011-03-25,summer,2011,Mar,Fri,Workday,Clear,0.26,0.26,0.49,0.23,300,1910,2210
85,2011-03-26,summer,2011,Mar,Sat,Holiday,Clear,0.27,0.26,0.39,0.21,981,1515,2496
86,2011-03-27,summer,2011,Mar,Sun,Holiday,Mist,0.25,0.25,0.49,0.18,472,1221,1693
87,2011-03-28,summer,2011,Mar,Mon,Workday,Clear,0.26,0.26,0.30,0.21,222,1806,2028
88,2011-03-29,summer,2011,Mar,Tue,Workday,Clear,0.30,0.29,0.31,0.23,317,2108,2425
89,2011-03-30,summer,2011,Mar,Wed,Workday,Mist,0.30,0.30,0.65,0.17,168,1368,1536
90,2011-03-31,summer,2011,Mar,Thu,Workday,Light Snow,0.27,0.26,0.92,0.22,179,1506,1685
91,2011-04-01,summer,2011,Apr,Fri,Workday,Mist,0.30,0.28,0.69,0.26,307,1920,2227
92,2011-04-02,summer,2011,Apr,Sat,Holiday,Mist,0.32,0.32,0.65,0.20,898,1354,2252
93,2011-04-03,summer,2011,Apr,Sun,Holiday,Clear,0.38,0.38,0.48,0.18,1651,1598,3249
94,2011-04-04,summer,2011,Apr,Mon,Workday,Clear,0.57,0.54,0.43,0.39,734,2381,3115
95,2011-04-05,summer,2011,Apr,Tue,Workday,Mist,0.41,0.40,0.64,0.39,167,1628,1795
96,2011-04-06,summer,2011,Apr,Wed,Workday,Clear,0.39,0.39,0.47,0.26,413,2395,2808
97,2011-04-07,summer,2011,Apr,Thu,Workday,Clear,0.44,0.43,0.60,0.16,571,2570,3141
98,2011-04-08,summer,2011,Apr,Fri,Workday,Mist,0.34,0.32,0.84,0.23,172,1299,1471
99,2011-04-09,summer,2011,Apr,Sat,Holiday,Mist,0.34,0.34,0.88,0.13,879,1576,2455
100,2011-04-10,summer,2011,Apr,Sun,Holiday,Mist,0.43,0.43,0.86,0.15,1188,1707,2895
101,2011-04-11,summer,2011,Apr,Mon,Workday,Mist,0.60,0.57,0.72,0.32,855,2493,3348
102,2011-04-12,summer,2011,Apr,Tue,Workday,Mist,0.50,0.49,0.74,0.27,257,1777,2034
103,2011-04-13,summer,2011,Apr,Wed,Workday,Mist,0.41,0.42,0.82,0.25,209,1953,2162
104,2011-04-14,summer,2011,Apr,Thu,Workday,Clear,0.47,0.46,0.54,0.11,529,2738,3267
105,2011-04-15,summer,2011,Apr,Fri,Holiday,Clear,0.45,0.44,0.67,0.23,642,2484,3126
106,2011-04-16,summer,2011,Apr,Sat,Holiday,Light Snow,0.43,0.43,0.89,0.34,121,674,795
107,2011-04-17,summer,2011,Apr,Sun,Holiday,Clear,0.46,0.45,0.48,0.30,1558,2186,3744
108,2011-04-18,summer,2011,Apr,Mon,Workday,Clear,0.51,0.50,0.54,0.16,669,2760,3429
109,2011-04-19,summer,2011,Apr,Tue,Workday,Mist,0.51,0.49,0.67,0.16,409,2795,3204
110,2011-04-20,summer,2011,Apr,Wed,Workday,Clear,0.59,0.56,0.61,0.24,613,3331,3944
111,2011-04-21,summer,2011,Apr,Thu,Workday,Clear,0.46,0.45,0.41,0.33,745,3444,4189
112,2011-04-22,summer,2011,Apr,Fri,Workday,Mist,0.34,0.32,0.73,0.22,177,1506,1683
113,2011-04-23,summer,2011,Apr,Sat,Holiday,Mist,0.46,0.45,0.89,0.23,1462,2574,4036
114,2011-04-24,summer,2011,Apr,Sun,Holiday,Mist,0.58,0.55,0.81,0.19,1710,2481,4191
115,2011-04-25,summer,2011,Apr,Mon,Workday,Clear,0.61,0.57,0.78,0.19,773,3300,4073
116,2011-04-26,summer,2011,Apr,Tue,Workday,Clear,0.63,0.59,0.73,0.33,678,3722,4400
117,2011-04-27,summer,2011,Apr,Wed,Workday,Mist,0.62,0.58,0.84,0.31,547,3325,3872
118,2011-04-28,summer,2011,Apr,Thu,Workday,Mist,0.62,0.58,0.70,0.32,569,3489,4058
119,2011-04-29,summer,2011,Apr,Fri,Workday,Clear,0.51,0.50,0.46,0.24,878,3717,4595
120,2011-04-30,summer,2011,Apr,Sat,Holiday,Clear,0.47,0.46,0.50,0.24,1965,3347,5312
121,2011-05-01,summer,2011,Mei,Sun,Holiday,Mist,0.45,0.45,0.76,0.11,1138,2213,3351
122,2011-05-02,summer,2011,Mei,Mon,Workday,Mist,0.55,0.53,0.73,0.18,847,3554,4401
123,2011-05-03,summer,2011,Mei,Tue,Workday,Mist,0.62,0.58,0.70,0.34,603,3848,4451
124,2011-05-04,summer,2011,Mei,Wed,Workday,Mist,0.41,0.40,0.74,0.33,255,2378,2633
125,2011-05-05,summer,2011,Mei,Thu,Workday,Clear,0.46,0.44,0.44,0.30,614,3819,4433
126,2011-05-06,summer,2011,Mei,Fri,Workday,Clear,0.48,0.47,0.59,0.23,894,3714,4608
127,2011-05-07,summer,2011,Mei,Sat,Holiday,Clear,0.52,0.51,0.54,0.16,1612,3102,4714
128,2011-05-08,summer,2011,Mei,Sun,Holiday,Clear,0.53,0.52,0.63,0.07,1401,2932,4333
129,2011-05-09,summer,2011,Mei,Mon,Workday,Clear,0.53,0.53,0.59,0.18,664,3698,4362
130,2011-05-10,summer,2011,Mei,Tue,Workday,Clear,0.53,0.52,0.49,0.12,694,4109,4803
131,2011-05-11,summer,2011,Mei,Wed,Workday,Clear,0.54,0.53,0.63,0.12,550,3632,4182
132,2011-05-12,summer,2011,Mei,Thu,Workday,Clear,0.54,0.52,0.75,0.19,695,4169,4864
133,2011-05-13,summer,2011,Mei,Fri,Workday,Mist,0.51,0.49,0.86,0.18,692,3413,4105
134,2011-05-14,summer,2011,Mei,Sat,Holiday,Mist,0.52,0.50,0.92,0.13,902,2507,3409
135,2011-05-15,summer,2011,Mei,Sun,Holiday,Mist,0.56,0.54,0.87,0.15,1582,2971,4553
136,2011-05-16,summer,2011,Mei,Mon,Workday,Clear,0.58,0.55,0.79,0.13,773,3185,3958
137,2011-05-17,summer,2011,Mei,Tue,Workday,Mist,0.56,0.54,0.84,0.28,678,3445,4123
138,2011-05-18,summer,2011,Mei,Wed,Workday,Mist,0.55,0.53,0.87,0.20,536,3319,3855
139,2011-05-19,summer,2011,Mei,Thu,Workday,Mist,0.53,0.51,0.83,0.11,735,3840,4575
140,2011-05-20,summer,2011,Mei,Fri,Workday,Clear,0.54,0.53,0.72,0.13,909,4008,4917
141,2011-05-21,summer,2011,Mei,Sat,Holiday,Clear,0.60,0.57,0.63,0.12,2258,3547,5805
142,2011-05-22,summer,2011,Mei,Sun,Holiday,Clear,0.60,0.57,0.75,0.15,1576,3084,4660
143,2011-05-23,summer,2011,Mei,Mon,Workday,Mist,0.63,0.59,0.81,0.23,836,3438,4274
144,2011-05-24,summer,2011,Mei,Tue,Workday,Mist,0.66,0.60,0.74,0.21,659,3833,4492
145,2011-05-25,summer,2011,Mei,Wed,Workday,Clear,0.66,0.62,0.70,0.15,740,4238,4978
146,2011-05-26,summer,2011,Mei,Thu,Workday,Clear,0.71,0.65,0.68,0.20,758,3919,4677
147,2011-05-27,summer,2011,Mei,Fri,Workday,Clear,0.68,0.64,0.65,0.24,871,3808,4679
148,2011-05-28,summer,2011,Mei,Sat,Holiday,Clear,0.66,0.61,0.73,0.23,2001,2757,4758
149,2011-05-29,summer,2011,Mei,Sun,Holiday,Clear,0.67,0.62,0.82,0.21,2355,2433,4788
150,2011-05-30,summer,2011,Mei,Mon,Holiday,Clear,0.73,0.67,0.69,0.13,1549,2549,4098
151,2011-05-31,summer,2011,Mei,Tue,Workday,Clear,0.78,0.73,0.64,0.11,673,3309,3982
152,2011-06-01,summer,2011,Jun,Wed,Workday,Mist,0.76,0.72,0.68,0.21,513,3461,3974
153,2011-06-02,summer,2011,Jun,Thu,Workday,Clear,0.71,0.64,0.30,0.29,736,4232,4968
154,2011-06-03,summer,2011,Jun,Fri,Workday,Clear,0.62,0.59,0.35,0.25,898,4414,5312
155,2011-06-04,summer,2011,Jun,Sat,Holiday,Clear,0.64,0.59,0.46,0.12,1869,3473,5342
156,2011-06-05,summer,2011,Jun,Sun,Holiday,Mist,0.65,0.62,0.65,0.14,1685,3221,4906
157,2011-06-06,summer,2011,Jun,Mon,Workday,Clear,0.68,0.62,0.60,0.12,673,3875,4548
158,2011-06-07,summer,2011,Jun,Tue,Workday,Clear,0.71,0.66,0.60,0.19,763,4070,4833
159,2011-06-08,summer,2011,Jun,Wed,Workday,Clear,0.78,0.73,0.62,0.14,676,3725,4401
160,2011-06-09,summer,2011,Jun,Thu,Workday,Mist,0.81,0.76,0.57,0.15,563,3352,3915
161,2011-06-10,summer,2011,Jun,Fri,Workday,Clear,0.76,0.70,0.60,0.14,815,3771,4586
162,2011-06-11,summer,2011,Jun,Sat,Holiday,Clear,0.72,0.68,0.65,0.15,1729,3237,4966
163,2011-06-12,summer,2011,Jun,Sun,Holiday,Clear,0.69,0.64,0.75,0.16,1467,2993,4460
164,2011-06-13,summer,2011,Jun,Mon,Workday,Clear,0.64,0.60,0.49,0.31,863,4157,5020
165,2011-06-14,summer,2011,Jun,Tue,Workday,Clear,0.60,0.59,0.51,0.27,727,4164,4891
166,2011-06-15,summer,2011,Jun,Wed,Workday,Clear,0.63,0.59,0.47,0.17,769,4411,5180
167,2011-06-16,summer,2011,Jun,Thu,Workday,Mist,0.63,0.60,0.69,0.21,545,3222,3767
168,2011-06-17,summer,2011,Jun,Fri,Workday,Clear,0.65,0.60,0.74,0.14,863,3981,4844
169,2011-06-18,summer,2011,Jun,Sat,Holiday,Clear,0.70,0.64,0.67,0.12,1807,3312,5119
170,2011-06-19,summer,2011,Jun,Sun,Holiday,Mist,0.70,0.65,0.67,0.10,1639,3105,4744
171,2011-06-20,summer,2011,Jun,Mon,Workday,Mist,0.64,0.60,0.75,0.16,699,3311,4010
172,2011-06-21,fall,2011,Jun,Tue,Workday,Mist,0.68,0.64,0.77,0.17,774,4061,4835
173,2011-06-22,fall,2011,Jun,Wed,Workday,Clear,0.73,0.69,0.71,0.17,661,3846,4507
174,2011-06-23,fall,2011,Jun,Thu,Workday,Mist,0.73,0.69,0.70,0.24,746,4044,4790
175,2011-06-24,fall,2011,Jun,Fri,Workday,Clear,0.72,0.66,0.57,0.22,969,4022,4991
176,2011-06-25,fall,2011,Jun,Sat,Holiday,Clear,0.69,0.64,0.48,0.21,1782,3420,5202
177,2011-06-26,fall,2011,Jun,Sun,Holiday,Clear,0.68,0.64,0.51,0.09,1920,3385,5305
178,2011-06-27,fall,2011,Jun,Mon,Workday,Mist,0.68,0.64,0.66,0.11,854,3854,4708
179,2011-06-28,fall,2011,Jun,Tue,Workday,Clear,0.74,0.69,0.63,0.14,732,3916,4648
180,2011-06-29,fall,2011,Jun,Wed,Workday,Clear,0.73,0.65,0.50,0.26,848,4377,5225
181,2011-06-30,fall,2011,Jun,Thu,Workday,Clear,0.70,0.64,0.43,0.19,1027,4488,5515
182,2011-07-01,fall,2011,Jul,Fri,Workday,Clear,0.72,0.65,0.40,0.10,1246,4116,5362
183,2011-07-02,fall,2011,Jul,Sat,Holiday,Clear,0.74,0.67,0.44,0.12,2204,2915,5119
184,2011-07-03,fall,2011,Jul,Sun,Holiday,Mist,0.72,0.67,0.68,0.23,2282,2367,4649
185,2011-07-04,fall,2011,Jul,Mon,Holiday,Mist,0.73,0.67,0.64,0.08,3065,2978,6043
186,2011-07-05,fall,2011,Jul,Tue,Workday,Clear,0.75,0.70,0.59,0.13,1031,3634,4665
187,2011-07-06,fall,2011,Jul,Wed,Workday,Clear,0.72,0.69,0.74,0.15,784,3845,4629
188,2011-07-07,fall,2011,Jul,Thu,Workday,Clear,0.75,0.69,0.65,0.16,754,3838,4592
189,2011-07-08,fall,2011,Jul,Fri,Workday,Mist,0.71,0.67,0.76,0.23,692,3348,4040
190,2011-07-09,fall,2011,Jul,Sat,Holiday,Clear,0.73,0.66,0.61,0.17,1988,3348,5336
191,2011-07-10,fall,2011,Jul,Sun,Holiday,Clear,0.75,0.69,0.58,0.18,1743,3138,4881
192,2011-07-11,fall,2011,Jul,Mon,Workday,Clear,0.76,0.73,0.64,0.28,723,3363,4086
193,2011-07-12,fall,2011,Jul,Tue,Workday,Clear,0.79,0.74,0.56,0.20,662,3596,4258
194,2011-07-13,fall,2011,Jul,Wed,Workday,Clear,0.75,0.69,0.63,0.15,748,3594,4342
195,2011-07-14,fall,2011,Jul,Thu,Workday,Clear,0.68,0.64,0.48,0.24,888,4196,5084
196,2011-07-15,fall,2011,Jul,Fri,Workday,Clear,0.66,0.62,0.59,0.18,1318,4220,5538
197,2011-07-16,fall,2011,Jul,Sat,Holiday,Clear,0.69,0.64,0.58,0.21,2418,3505,5923
198,2011-07-17,fall,2011,Jul,Sun,Holiday,Clear,0.72,0.67,0.60,0.25,2006,3296,5302
199,2011-07-18,fall,2011,Jul,Mon,Workday,Clear,0.75,0.70,0.65,0.22,841,3617,4458
200,2011-07-19,fall,2011,Jul,Tue,Workday,Clear,0.78,0.75,0.65,0.13,752,3789,4541
201,2011-07-20,fall,2011,Jul,Wed,Workday,Clear,0.77,0.75,0.71,0.11,644,3688,4332
202,2011-07-21,fall,2011,Jul,Thu,Workday,Mist,0.81,0.83,0.69,0.22,632,3152,3784
203,2011-07-22,fall,2011,Jul,Fri,Workday,Clear,0.85,0.84,0.58,0.13,562,2825,3387
204,2011-07-23,fall,2011,Jul,Sat,Holiday,Clear,0.85,0.80,0.50,0.13,987,2298,3285
205,2011-07-24,fall,2011,Jul,Sun,Holiday,Clear,0.83,0.79,0.55,0.17,1050,2556,3606
206,2011-07-25,fall,2011,Jul,Mon,Workday,Clear,0.74,0.72,0.76,0.09,568,3272,3840
207,2011-07-26,fall,2011,Jul,Tue,Workday,Clear,0.77,0.70,0.54,0.20,750,3840,4590
208,2011-07-27,fall,2011,Jul,Wed,Workday,Clear,0.78,0.69,0.40,0.18,755,3901,4656
209,2011-07-28,fall,2011,Jul,Thu,Workday,Clear,0.78,0.74,0.58,0.18,606,3784,4390
210,2011-07-29,fall,2011,Jul,Fri,Workday,Clear,0.84,0.79,0.54,0.17,670,3176,3846
211,2011-07-30,fall,2011,Jul,Sat,Holiday,Clear,0.80,0.73,0.47,0.17,1559,2916,4475
212,2011-07-31,fall,2011,Jul,Sun,Holiday,Clear,0.81,0.73,0.48,0.16,1524,2778,4302
213,2011-08-01,fall,2011,Aug,Mon,Workday,Clear,0.77,0.70,0.55,0.16,729,3537,4266
214,2011-08-02,fall,2011,Aug,Tue,Workday,Clear,0.78,0.71,0.49,0.21,801,4044,4845
215,2011-08-03,fall,2011,Aug,Wed,Workday,Mist,0.73,0.68,0.66,0.14,467,3107,3574
216,2011-08-04,fall,2011,Aug,Thu,Workday,Mist,0.71,0.66,0.76,0.20,799,3777,4576
217,2011-08-05,fall,2011,Aug,Fri,Workday,Clear,0.71,0.66,0.63,0.18,1023,3843,4866
218,2011-08-06,fall,2011,Aug,Sat,Holiday,Mist,0.72,0.68,0.76,0.23,1521,2773,4294
219,2011-08-07,fall,2011,Aug,Sun,Holiday,Clear,0.74,0.72,0.75,0.20,1298,2487,3785
220,2011-08-08,fall,2011,Aug,Mon,Workday,Clear,0.77,0.70,0.59,0.19,846,3480,4326
221,2011-08-09,fall,2011,Aug,Tue,Workday,Clear,0.78,0.72,0.57,0.15,907,3695,4602
222,2011-08-10,fall,2011,Aug,Wed,Workday,Clear,0.77,0.68,0.42,0.20,884,3896,4780
223,2011-08-11,fall,2011,Aug,Thu,Workday,Clear,0.72,0.65,0.42,0.16,812,3980,4792
224,2011-08-12,fall,2011,Aug,Fri,Workday,Clear,0.71,0.65,0.41,0.13,1051,3854,4905
225,2011-08-13,fall,2011,Aug,Sat,Holiday,Mist,0.69,0.65,0.73,0.21,1504,2646,4150
226,2011-08-14,fall,2011,Aug,Sun,Holiday,Mist,0.68,0.62,0.82,0.22,1338,2482,3820
227,2011-08-15,fall,2011,Aug,Mon,Workday,Clear,0.67,0.62,0.71,0.21,775,3563,4338
228,2011-08-16,fall,2011,Aug,Tue,Workday,Clear,0.70,0.65,0.58,0.24,721,4004,4725
229,2011-08-17,fall,2011,Aug,Wed,Workday,Clear,0.72,0.67,0.58,0.14,668,4026,4694
230,2011-08-18,fall,2011,Aug,Thu,Workday,Clear,0.71,0.66,0.65,0.23,639,3166,3805
231,2011-08-19,fall,2011,Aug,Fri,Workday,Mist,0.69,0.63,0.72,0.14,797,3356,4153
232,2011-08-20,fall,2011,Aug,Sat,Holiday,Clear,0.70,0.65,0.67,0.10,1914,3277,5191
233,2011-08-21,fall,2011,Aug,Sun,Holiday,Clear,0.71,0.68,0.77,0.25,1249,2624,3873
234,2011-08-22,fall,2011,Aug,Mon,Workday,Clear,0.69,0.64,0.47,0.28,833,3925,4758
235,2011-08-23,fall,2011,Aug,Tue,Workday,Clear,0.64,0.61,0.46,0.15,1281,4614,5895
236,2011-08-24,fall,2011,Aug,Wed,Workday,Clear,0.67,0.63,0.60,0.25,949,4181,5130
237,2011-08-25,fall,2011,Aug,Thu,Workday,Mist,0.68,0.65,0.77,0.21,435,3107,3542
238,2011-08-26,fall,2011,Aug,Fri,Workday,Clear,0.70,0.66,0.76,0.08,768,3893,4661
239,2011-08-27,fall,2011,Aug,Sat,Holiday,Mist,0.68,0.64,0.85,0.38,226,889,1115
240,2011-08-28,fall,2011,Aug,Sun,Holiday,Clear,0.71,0.65,0.56,0.30,1415,2919,4334
241,2011-08-29,fall,2011,Aug,Mon,Workday,Clear,0.64,0.61,0.55,0.16,729,3905,4634
242,2011-08-30,fall,2011,Aug,Tue,Workday,Clear,0.64,0.59,0.55,0.13,775,4429,5204
243,2011-08-31,fall,2011,Aug,Wed,Workday,Clear,0.66,0.61,0.60,0.08,688,4370,5058
244,2011-09-01,fall,2011,Sep,Thu,Workday,Clear,0.66,0.61,0.64,0.14,783,4332,5115
245,2011-09-02,fall,2011,Sep,Fri,Workday,Mist,0.64,0.60,0.73,0.14,875,3852,4727
246,2011-09-03,fall,2011,Sep,Sat,Holiday,Clear,0.67,0.63,0.72,0.19,1935,2549,4484
247,2011-09-04,fall,2011,Sep,Sun,Holiday,Clear,0.71,0.67,0.74,0.21,2521,2419,4940
248,2011-09-05,fall,2011,Sep,Mon,Holiday,Mist,0.67,0.63,0.79,0.21,1236,2115,3351
249,2011-09-06,fall,2011,Sep,Tue,Workday,Light Snow,0.54,0.52,0.89,0.34,204,2506,2710
250,2011-09-07,fall,2011,Sep,Wed,Workday,Light Snow,0.60,0.54,0.92,0.10,118,1878,1996
